gene	family	frequency									
ACSF2	Acyl-CoA synthetase family	5									
ACSL5	Acyl-CoA synthetase family	5									
ACSS1	Acyl-CoA synthetase family	5									
ACSL4	Acyl-CoA synthetase family	5									
ACSS2	Acyl-CoA synthetase family	5									
ACOT11	Acyl-CoA thioesterases	2									
ACOT2	Acyl-CoA thioesterases	2									
ADAM8	ADAM metallopeptidase domain containing	2									
ADAM10	ADAM metallopeptidase domain containing	2									
AMPD2	Adenosine deaminase family	1									
AK2	Adenylate kinases	2									
AK3	Adenylate kinases	2									
ADGRE1	Adhesion G protein-coupled receptors, subfamily E	1									
ADGRG1	Adhesion G protein-coupled receptors, subfamily G	1									
ADGRV1	Adhesion G protein-coupled receptors, subfamily V	1									
AFF1	AF4/FMR2 family	1									
ADH5	Alcohol dehydrogenases	1									
ALDH4A1	Aldehyde dehydrogenases	4									
ALDH18A1	Aldehyde dehydrogenases	4									
ALDH3A2	Aldehyde dehydrogenases	4									
ALDH2	Aldehyde dehydrogenases	4									
AKR1A1	Aldo-keto reductases	1									
ALKBH5	Alkylation repair homologs	4									
ALKBH3	Alkylation repair homologs	4									
FTO	Alkylation repair homologs	4									
ALKBH7	Alkylation repair homologs	4									
TXNIP	Alpha arrestins	1									
YARS	Aminoacyl tRNA synthetases, Class I	11									
IARS2	Aminoacyl tRNA synthetases, Class I	11									
EPRS	Aminoacyl tRNA synthetases, Class I	11									
YARS2	Aminoacyl tRNA synthetases, Class I	11									
QARS	Aminoacyl tRNA synthetases, Class I	11									
CARS	Aminoacyl tRNA synthetases, Class I	11									
MARS	Aminoacyl tRNA synthetases, Class I	11									
LARS2	Aminoacyl tRNA synthetases, Class I	11									
WARS	Aminoacyl tRNA synthetases, Class I	11									
MARS2	Aminoacyl tRNA synthetases, Class I	11									
RARS2	Aminoacyl tRNA synthetases, Class I	11									
SARS	Aminoacyl tRNA synthetases, Class II	11									
GARS	Aminoacyl tRNA synthetases, Class II	11									
TARS	Aminoacyl tRNA synthetases, Class II	11									
DARS	Aminoacyl tRNA synthetases, Class II	11									
AARS	Aminoacyl tRNA synthetases, Class II	11									
NARS2	Aminoacyl tRNA synthetases, Class II	11									
TARS2	Aminoacyl tRNA synthetases, Class II	11									
NARS	Aminoacyl tRNA synthetases, Class II	11									
KARS	Aminoacyl tRNA synthetases, Class II	11									
AARS2	Aminoacyl tRNA synthetases, Class II	11									
SARS2	Aminoacyl tRNA synthetases, Class II	11									
METAP1	Aminopeptidases	6									
LAP3	Aminopeptidases	6									
NPEPPS	Aminopeptidases	6									
ERAP1	Aminopeptidases	6									
METAP2	Aminopeptidases	6									
LNPEP	Aminopeptidases	6									
ANAPC2	Anaphase promoting complex 	6									
ANAPC1	Anaphase promoting complex 	6									
CDC16	Anaphase promoting complex 	6									
ANAPC5	Anaphase promoting complex 	6									
ANAPC4	Anaphase promoting complex 	6									
CDC26	Anaphase promoting complex 	6									
BANK1	Ankyrin repeat domain containing	29									
TONSL	Ankyrin repeat domain containing	29									
ANKRD39	Ankyrin repeat domain containing	29									
ANKHD1	Ankyrin repeat domain containing	29									
OSBPL1A	Ankyrin repeat domain containing	29									
ANKRD54	Ankyrin repeat domain containing	29									
NFKB1	Ankyrin repeat domain containing	29									
ABTB1	Ankyrin repeat domain containing	29									
ILK	Ankyrin repeat domain containing	29									
TRPV2	Ankyrin repeat domain containing	29									
MTPN	Ankyrin repeat domain containing	29									
HECTD1	Ankyrin repeat domain containing	29									
ANKRD46	Ankyrin repeat domain containing	29									
ACAP2	Ankyrin repeat domain containing	29									
NOTCH2	Ankyrin repeat domain containing	29									
KIDINS220	Ankyrin repeat domain containing	29									
OSTF1	Ankyrin repeat domain containing	29									
ARAP1	Ankyrin repeat domain containing	29									
ARAP3	Ankyrin repeat domain containing	29									
PPP1R12A	Ankyrin repeat domain containing	29									
NFKB2	Ankyrin repeat domain containing	29									
RNASEL	Ankyrin repeat domain containing	29									
ANKRD13A	Ankyrin repeat domain containing	29									
GLS	Ankyrin repeat domain containing	29									
ASB7	Ankyrin repeat domain containing	29									
AGAP3	Ankyrin repeat domain containing	29									
GIT2	Ankyrin repeat domain containing	29									
ANKLE2	Ankyrin repeat domain containing	29									
SLF1	Ankyrin repeat domain containing	29									
ANXA11	Annexins	2									
ANXA6	Annexins	2									
ANO6	Anoctamins	1									
ANP32A	ANP32 acidic nuclear phosphoproteins	1									
APOB	Apolipoproteins	2									
APOA1	Apolipoproteins	2									
ARL1	ARF GTPase family	3									
ARL2	ARF GTPase family	3									
ARF1	ARF GTPase family	3									
ARFGAP3	ArfGAPs	4									
SMAP1	ArfGAPs	4									
ADAP1	ArfGAPs	4									
ARFGAP1	ArfGAPs	4									
KPNA2	Armadillo repeat containing	7									
CTNND1	Armadillo repeat containing	7									
ARMC6	Armadillo repeat containing	7									
KPNB1	Armadillo repeat containing	7									
RAP1GDS1	Armadillo repeat containing	7									
KPNA4	Armadillo repeat containing	7									
KPNA6	Armadillo repeat containing	7									
RNPS1	ASAP complex	2									
ACIN1	ASAP complex	2									
ARID3A	AT-rich interaction domain containing	1									
HCFC1	ATAC complex	2									
WDR5	ATAC complex	2									
ATXN2	Ataxins	3									
ATXN3	Ataxins	3									
ATXN10	Ataxins	3									
ABCA2	ATP binding cassette subfamily A	2									
ABCA1	ATP binding cassette subfamily A	2									
ABCB7	ATP binding cassette subfamily B	3									
ABCB8	ATP binding cassette subfamily B	3									
ABCB10	ATP binding cassette subfamily B	3									
ABCF2	ATP binding cassette subfamily F	1									
ATP1B3	ATPase Na+/K+ transporting subunits	2									
ATP1A1	ATPase Na+/K+ transporting subunits	2									
ATP13A1	ATPase orphan transporters	1									
ATP11C	ATPase phospholipid transporting	2									
ATP11B	ATPase phospholipid transporting	2									
ATP2B1	ATPases Ca2+ transporting	1									
RNGTT	Atypical dual specificity phosphatases	2									
DUSP3	Atypical dual specificity phosphatases	2									
ATG7	Autophagy related	6									
ATG2B	Autophagy related	6									
ATG5	Autophagy related	6									
WIPI2	Autophagy related	6									
BECN1	Autophagy related	6									
ATG4B	Autophagy related	6									
BIRC6	Baculoviral IAP repeat containing	1									
TRIM32	Bardet-Biedl syndrome associated	1									
TAL1	Basic helix-loop-helix proteins	2									
MAX	Basic helix-loop-helix proteins	2									
JUNB	Basic leucine zipper proteins	2									
ATF1	Basic leucine zipper proteins	2									
ARHGAP1	BCH domain containing 	1									
BAG2	BCL2 associated athanogene family	1									
BCL2L1	BCL2 family	4									
MCL1	BCL2 family	4									
BCL2L13	BCL2 family	4									
BAX	BCL2 family	4									
BAD	BCL2 homology region 3 (BH3) only	5									
BNIP1	BCL2 homology region 3 (BH3) only	5									
BNIP3	BCL2 homology region 3 (BH3) only	5									
BBC3	BCL2 homology region 3 (BH3) only	5									
BID	BCL2 homology region 3 (BH3) only	5									
WDR81	BEACH domain containing 	5									
NBEAL2	BEACH domain containing 	5									
WDFY3	BEACH domain containing 	5									
LRBA	BEACH domain containing 	5									
WDFY4	BEACH domain containing 	5									
NACC1	BEN domain containing	1									
B4GALT1	Beta 4-glycosyltransferases	3									
B4GALNT1	Beta 4-glycosyltransferases	3									
CSGALNACT2	Beta 4-glycosyltransferases	3									
HPS6	Biogenesis of lysosomal organelles complex 2 	1									
PGAM1	Bisphosphoglycerate phosphatases	1									
BSG	Blood group antigens	2									
CD44	Blood group antigens	2									
BRE	BRCA1 A complex	3									
BABAM1	BRCA1 A complex	3									
BRCC3	BRCA1 A complex	3									
TOPBP1	BRCA1 B complex	1									
NBN	BRCA1 C complex	2									
RAD50	BRCA1 C complex	2									
ZBTB1	BTB domain containing	3									
KEAP1	BTB domain containing	3									
ZBTB16	BTB domain containing	3									
CCR1	C-C motif chemokine receptors	1									
SELL	C-type lectin domain containing	2									
CD72	C-type lectin domain containing	2									
TAPBP	C1-set domain containing	2									
B2M	C1-set domain containing	2									
RASA3	C2 and RasGAP domain containing	2									
RASA1	C2 and RasGAP domain containing	2									
CC2D1B	C2 domain containing	6									
C2CD5	C2 domain containing	6									
SMURF2	C2 domain containing	6									
TOLLIP	C2 domain containing	6									
ITSN2	C2 domain containing	6									
INPP4B	C2 domain containing	6									
PLCB2	C2 domain containing phospholipases	3									
PLCL2	C2 domain containing phospholipases	3									
PLA2G4A	C2 domain containing phospholipases	3									
PRKCA	C2 domain containing protein kinases	2									
PRKCD	C2 domain containing protein kinases	2									
PTEN	C2 tensin-type domain containing	2									
GAK	C2 tensin-type domain containing	2									
CD200R1	C2-set domain containing	1									
FAT2	Cadherin related	2									
FAT3	Cadherin related	2									
CAPN2	Calpains	2									
CAPN1	Calpains	2									
HMGN2	Canonical high mobility group	3									
HMGA1	Canonical high mobility group	3									
HMGB1	Canonical high mobility group	3									
SCPEP1	Carboxypeptidases	1									
CASP2	Caspase recruitment domain containing	2									
CASP1	Caspase recruitment domain containing	2									
CASP7	Caspases	2									
CASP8	Caspases	2									
CTSZ	Cathepsins	4									
CTSB	Cathepsins	4									
CTSD	Cathepsins	4									
CTSC	Cathepsins	4									
CEBPZ	CCAAT/enhancer binding proteins 	1									
CNOT3	CCR4-NOT transcription complex	4									
CNOT7	CCR4-NOT transcription complex	4									
CNOT10	CCR4-NOT transcription complex	4									
CNOT11	CCR4-NOT transcription complex	4									
MPL	CD molecules	22									
ICAM2	CD molecules	22									
IGF1R	CD molecules	22									
HMMR	CD molecules	22									
SEMA4D	CD molecules	22									
ITGA2B	CD molecules	22									
SLC7A5	CD molecules	22									
PTPRC	CD molecules	22									
CSF2RB	CD molecules	22									
ITGA5	CD molecules	22									
ITGB1	CD molecules	22									
EVI2B	CD molecules	22									
GP5	CD molecules	22									
TFRC	CD molecules	22									
ITGB2	CD molecules	22									
ITGAL	CD molecules	22									
CD48	CD molecules	22									
PTPRJ	CD molecules	22									
CD84	CD molecules	22									
SPN	CD molecules	22									
ITGA4	CD molecules	22									
LAMP1	CD molecules	22									
CLK4	CDC like kinases	1									
CISD3	CDGSH iron sulfur domain containing	3									
CISD1	CDGSH iron sulfur domain containing	3									
CISD2	CDGSH iron sulfur domain containing	3									
CCT3	Chaperonins	5									
HSPD1	Chaperonins	5									
CCT5	Chaperonins	5									
CCT8	Chaperonins	5									
CCT6A	Chaperonins	5									
CHMP1A	Charged multivesicular body proteins	1									
CLIC4	Chloride intracellular channels	2									
CLIC1	Chloride intracellular channels	2									
CLCN7	Chloride voltage-gated channels	2									
CLCN5	Chloride voltage-gated channels	2									
DNMBP	Classical BAR domain containing	3									
ARFIP2	Classical BAR domain containing	3									
ARFIP1	Classical BAR domain containing	3									
CHCHD3	Coiled-coil-helix-coiled-coil-helix domain containing	2									
CHCHD2	Coiled-coil-helix-coiled-coil-helix domain containing	2									
COLGALT1	Collagen beta(1-O)galactosyltransferases	1									
COMMD8	COMM domain containing	8									
COMMD3	COMM domain containing	8									
COMMD4	COMM domain containing	8									
COMMD10	COMM domain containing	8									
COMMD9	COMM domain containing	8									
COMMD6	COMM domain containing	8									
COMMD2	COMM domain containing	8									
COMMD5	COMM domain containing	8									
C1QA	Complement system	3									
C1QB	Complement system	3									
C1QC	Complement system	3									
COG1	Components of oligomeric golgi complex	3									
COG3	Components of oligomeric golgi complex	3									
COG4	Components of oligomeric golgi complex	3									
COPS4	COP9 signalosome 	1									
CPNE2	Copines	1									
CORO7	Coronins	2									
CORO1B	Coronins	2									
LIN7A	Crumbs complex	1									
CTDP1	CTD family phosphatases	1									
CUL7	Cullins	6									
CUL1	Cullins	6									
CUL2	Cullins	6									
CUL3	Cullins	6									
CUL5	Cullins	6									
CUL4B	Cullins	6									
CUX1	CUT class homeoboxes and pseudogenes	1									
CDK7	Cyclin dependent kinases	8									
CDK9	Cyclin dependent kinases	8									
CDK12	Cyclin dependent kinases	8									
CDK11B	Cyclin dependent kinases	8									
CDK1	Cyclin dependent kinases	8									
CDK6	Cyclin dependent kinases	8									
CDK2	Cyclin dependent kinases	8									
CDK5	Cyclin dependent kinases	8									
CCNL1	Cyclins	2									
CCNT1	Cyclins	2									
PPIL3	Cyclophilin peptidylprolyl isomerases	6									
PPIG	Cyclophilin peptidylprolyl isomerases	6									
RANBP2	Cyclophilin peptidylprolyl isomerases	6									
PPIL1	Cyclophilin peptidylprolyl isomerases	6									
PPIL4	Cyclophilin peptidylprolyl isomerases	6									
PPIE	Cyclophilin peptidylprolyl isomerases	6									
CSTB	Cystatins, type 1	1									
KNG1	Cystatins, type 3	1									
CYP11A1	Cytochrome P450 family 11	1									
CYP20A1	Cytochrome P450 family 20	1									
NUBP1	Cytosolic iron-sulfur assembly components	2									
MMS19	Cytosolic iron-sulfur assembly components	2									
DCAF13	DDB1 and CUL4 associated factors	4									
DCAF7	DDB1 and CUL4 associated factors	4									
DCAF5	DDB1 and CUL4 associated factors	4									
DCAF8	DDB1 and CUL4 associated factors	4									
DDX21	DEAD-box helicases	12									
DDX58	DEAD-box helicases	12									
EIF4A1	DEAD-box helicases	12									
DDX20	DEAD-box helicases	12									
DDX3X	DEAD-box helicases	12									
DDX19B	DEAD-box helicases	12									
DDX1	DEAD-box helicases	12									
DDX46	DEAD-box helicases	12									
DDX23	DEAD-box helicases	12									
DDX39A	DEAD-box helicases	12									
DDX18	DEAD-box helicases	12									
DDX41	DEAD-box helicases	12									
CCDC50	Deafness associated genes	7									
TJP2	Deafness associated genes	7									
MYH9	Deafness associated genes	7									
PNPT1	Deafness associated genes	7									
TRIOBP	Deafness associated genes	7									
PRPS1	Deafness associated genes	7									
TBC1D24	Deafness associated genes	7									
DHX38	DEAH-box helicases	5									
DHX16	DEAH-box helicases	5									
DHX36	DEAH-box helicases	5									
DHX9	DEAH-box helicases	5									
DHX57	DEAH-box helicases	5									
DENND2D	DENN/MADD domain containing	1									
DGKZ	Diacylglycerol kinases	1									
DVL2	Dishevelled segment polarity proteins	1									
NCL	DNA helicases	5									
ERCC3	DNA helicases	5									
HELLS	DNA helicases	5									
XRCC6	DNA helicases	5									
ERCC2	DNA helicases	5									
LIG1	DNA ligases	1									
POLD2	DNA polymerases	7									
POLD1	DNA polymerases	7									
POLI	DNA polymerases	7									
POLA2	DNA polymerases	7									
POLD3	DNA polymerases	7									
POLA1	DNA polymerases	7									
REV3L	DNA polymerases	7									
DNAJC10	DNAJ (HSP40) heat shock proteins	11									
DNAJC8	DNAJ (HSP40) heat shock proteins	11									
DNAJC9	DNAJ (HSP40) heat shock proteins	11									
DNAJC7	DNAJ (HSP40) heat shock proteins	11									
DNAJC13	DNAJ (HSP40) heat shock proteins	11									
DNAJB11	DNAJ (HSP40) heat shock proteins	11									
DNAJC19	DNAJ (HSP40) heat shock proteins	11									
DNAJC2	DNAJ (HSP40) heat shock proteins	11									
SEC63	DNAJ (HSP40) heat shock proteins	11									
DNAJA1	DNAJ (HSP40) heat shock proteins	11									
DNAJB1	DNAJ (HSP40) heat shock proteins	11									
DCTN5	Dynactin	5									
DCTN1	Dynactin	5									
DCTN2	Dynactin	5									
DCTN3	Dynactin	5									
DCTN6	Dynactin	5									
DYNC1LI1	Dyneins, cytoplasmic	2									
DYNC1H1	Dyneins, cytoplasmic	2									
S100A4	EF-hand domain containing	28		Protein S100-A4	0.8645	0.003173784					
NUCB1	EF-hand domain containing	28		Nucleobindin-1	0.2765	0.041172871					
SLC25A23	EF-hand domain containing	28		Calcium-binding mitochondrial carrier protein SCaMC-3	0.238	0.07809592					
S100A9	EF-hand domain containing	28		Protein S100-A9	0.1325	0.211742254					
SLC25A12	EF-hand domain containing	28		Calcium-binding mitochondrial carrier protein Aralar1	0.1235	0.166597125					
CHP1	EF-hand domain containing	28		Calcineurin B homologous protein 1	0.122	0.106183774					
MYL12A	EF-hand domain containing	28		MCG5400	0.109	0.135687048					
SPTAN1	EF-hand domain containing	28		Spectrin alpha chain, non-erythrocytic 1	0.1055	0.146546274					
EHD4	EF-hand domain containing	28		EH domain-containing protein 4	0.105	0.150536665					
PPP3R1	EF-hand domain containing	28		Calcineurin subunit B type 1	0.1025	0.201439898					
PDCD6	EF-hand domain containing	28		Programmed cell death protein 6	0.0975	0.199604316					
CAPNS1	EF-hand domain containing	28		Calpain small subunit 1	0.088	0.287290519					
S100A11	EF-hand domain containing	28		Protein S100-A11	0.0555	0.458272763					
CIB1	EF-hand domain containing	28		Calcium and integrin-binding protein 1	0.035	0.583363708					
GPD2	EF-hand domain containing	28		Glycerol-3-phosphate dehydrogenase, mitochondrial	0.0335	0.635421308					
MICU2	EF-hand domain containing	28		Calcium uptake protein 2, mitochondrial	-0.0325	0.636824582		upregulated in WT no IL3		0.338	0.001393166
EPS15	EF-hand domain containing	28		Epidermal growth factor receptor substrate 15	-0.0505	0.441145831					
LCP1	EF-hand domain containing	28		Plastin-2	-0.0665	0.347982209					
ZZEF1	EF-hand domain containing	28		Zinc finger ZZ-type and EF-hand domain-containing protein 1	-0.0705	0.298583634					
RHOT2	EF-hand domain containing	28		Mitochondrial Rho GTPase 2	-0.0825	0.234434354					
PEF1	EF-hand domain containing	28		Peflin	-0.0835	0.290145191					
RCN1	EF-hand domain containing	28									
CETN2	EF-hand domain containing	28									
RASGRP2	EF-hand domain containing	28									
CETN3	EF-hand domain containing	28									
CALM1	EF-hand domain containing	28									
CALU	EF-hand domain containing	28									
EPS15L1	EF-hand domain containing	28									
ELP2	Elongator acetyltransferase complex 	1									
MORF4L2	EMSY complex	3									
HDAC1	EMSY complex	3		 							
RBBP4	EMSY complex	3									
ENAH	ENAH/VASPs	1									
HTT	Endogenous ligands	4									
PSAP	Endogenous ligands	4									
ARHGDIB	Endogenous ligands	4									
LGALS1	Endogenous ligands	4									
VPS28	ESCRT-I	1									
VPS36	ESCRT-II	3									
VPS25	ESCRT-II	3									
SNF8	ESCRT-II	3									
IST1	ESCRT-III associated factors	1									
ETV6	ETS transcription factor family	2									
GABPA	ETS transcription factor family	2									
EIF3K	Eukaryotic translation initiation factor 3	12									
EIF3L	Eukaryotic translation initiation factor 3	12									
EIF3A	Eukaryotic translation initiation factor 3	12									
EIF3G	Eukaryotic translation initiation factor 3	12									
EIF3C	Eukaryotic translation initiation factor 3	12									
EIF3B	Eukaryotic translation initiation factor 3	12									
EIF3I	Eukaryotic translation initiation factor 3	12									
EIF3H	Eukaryotic translation initiation factor 3	12									
EIF3F	Eukaryotic translation initiation factor 3	12									
EIF3D	Eukaryotic translation initiation factor 3	12									
EIF3E	Eukaryotic translation initiation factor 3	12									
EIF3M	Eukaryotic translation initiation factor 3	12									
EXOC6	Exocyst complex	7									
EXOC8	Exocyst complex	7									
EXOC2	Exocyst complex	7									
EXOC3	Exocyst complex	7									
EXOC5	Exocyst complex	7									
EXOC7	Exocyst complex	7									
EXOC1	Exocyst complex	7									
REXO2	Exonucleases	1									
DIS3	Exosome complex	7									
EXOSC4	Exosome complex	7									
EXOSC6	Exosome complex	7									
DIS3L	Exosome complex	7									
EXOSC2	Exosome complex	7									
EXOSC7	Exosome complex	7									
EXOSC3	Exosome complex	7									
CSE1L	Exportins	4									
XPO1	Exportins	4									
XPO5	Exportins	4									
XPOT	Exportins	4									
ESYT1	Extended synaptotagmins	1									
PSTPIP2	F-BAR domain containing 	5									
PACSIN2	F-BAR domain containing 	5									
FCHO1	F-BAR domain containing 	5									
SRGAP2	F-BAR domain containing 	5									
ARHGAP4	F-BAR domain containing 	5									
FBXO30	F-boxes other	2									
FBXO6	F-boxes other	2									
ATP5I	F-type ATPases	7									
ATP5D	F-type ATPases	7									
ATP5E	F-type ATPases	7									
ATP5H	F-type ATPases	7									
ATP5L	F-type ATPases	7									
MT-ATP8	F-type ATPases	7									
ATP5J	F-type ATPases	7									
F2R	F2R receptors	1									
FADS2	Fatty acid desaturases	2									
FADS1	Fatty acid desaturases	2									
TLN1	FERM domain containing	3									
FRMD8	FERM domain containing	3									
PTK2B	FERM domain containing	3									
CRLF3	Fibronectin type III domain containing	4									
FNDC3A	Fibronectin type III domain containing	4									
PTPRB	Fibronectin type III domain containing	4									
TTN	Fibronectin type III domain containing	4									
FKBP4	FKBP prolyl isomerases	2									
FKBP5	FKBP prolyl isomerases	2									
FOXP4	Forkhead boxes	2									
FOXP1	Forkhead boxes	2									
GPATCH8	G-patch domain containing	6									
RBM6	G-patch domain containing	6									
SON	G-patch domain containing	6									
RBM17	G-patch domain containing	6									
CMTR1	G-patch domain containing	6									
ZGPAT	G-patch domain containing	6									
GATA2	GATA zinc finger domain containing	1									
NAA40	GCN5 related N-acetyltransferases	4									
GNPNAT1	GCN5 related N-acetyltransferases	4									
NAA30	GCN5 related N-acetyltransferases	4									
NAA10	GCN5 related N-acetyltransferases	4									
CAPG	Gelsolin/villins	5									
SVIL	Gelsolin/villins	5									
AVIL	Gelsolin/villins	5									
FLII	Gelsolin/villins	5									
SCIN	Gelsolin/villins	5									
GEMIN5	Gemins	1									
GTF2F2	General transcription factors	11									
GTF2E1	General transcription factors	11									
GTF2H4	General transcription factors	11									
TCEA1	General transcription factors	11									
GTF2H1	General transcription factors	11									
GTF2H2	General transcription factors	11									
GTF3C4	General transcription factors	11									
GTF3C5	General transcription factors	11									
GTF3C1	General transcription factors	11									
GTF3C3	General transcription factors	11									
GTF3C2	General transcription factors	11									
TTR	Gla domain containing	1									
GSTT1	Glutathione S-transferases	2									
GSTO1	Glutathione S-transferases	2									
GK	Glycerol kinases	1									
PYGB	Glycogen phosphorylases	1									
ALG2	Glycosyl transferases group 1 domain containing	2									
GYS1	Glycosyl transferases group 1 domain containing	2									
ALG5	Glycosyltransferase family 2	1									
XXYLT1	Glycosyltransferase family 8	2									
GYG1	Glycosyltransferase family 8	2									
KDELC1	Glycosyltransferase family 90	1									
GGA3	Golgi associated, gamma adaptin ear containing, ARF binding proteins	1									
GRAMD4	GRAM domain containing	1									
GIMAP1	GTPases, IMAP	2									
GIMAP8	GTPases, IMAP	2									
NHP2	H/ACA ribonucleoprotein complex	3									
DKC1	H/ACA ribonucleoprotein complex	3									
GAR1	H/ACA ribonucleoprotein complex	3									
NANP	HAD Asp-based non-protein phosphatases	3									
PMM2	HAD Asp-based non-protein phosphatases	3									
PSPH	HAD Asp-based non-protein phosphatases	3									
MDP1	HAD Asp-based protein phosphatases	1									
HAUS1	HAUS augmin like complex 	2									
HAUS4	HAUS augmin like complex 	2									
HSPA8	Heat shock 70kDa proteins	3									
HSPA4	Heat shock 70kDa proteins	3									
HYOU1	Heat shock 70kDa proteins	3									
HDAC8	Histone deacetylases, class I	2									
HDAC3	Histone deacetylases, class I	2									
HDAC4	Histone deacetylases, class IIA	1									
HDAC10	Histone deacetylases, class IIB	2									
HDAC6	Histone deacetylases, class IIB	2									
H1F0	Histones	4									
HIST1H1C	Histones	4									
HIST1H3A	Histones	4									
HIST1H4A	Histones	4									
MTSS1	I-BAR domain containing	1									
IPO9	Importins	6									
IPO7	Importins	6									
IPO4	Importins	6									
IPO5	Importins	6									
IPO8	Importins	6									
TNPO1	Importins	6									
YY1	INO80 complex 	2									
UCHL5	INO80 complex 	2									
ITPR1	Inositol 1,4,5-triphosphate receptors	1									
IGFBP4	Insulin like growth factor binding proteins	1									
IL16	Interleukins	1									
VIM	Intermediate filaments Type III	1									
KRT78	Keratins, type II	1									
KIF15	Kinesins	7									
KIF2C	Kinesins	7									
KIF11	Kinesins	7									
KIF5B	Kinesins	7									
KIF21B	Kinesins	7									
KIF20B	Kinesins	7									
KIFC1	Kinesins	7									
RPL37	L ribosomal proteins	37									
RPL29	L ribosomal proteins	37									
RPL19	L ribosomal proteins	37									
RPL11	L ribosomal proteins	37									
RPL5	L ribosomal proteins	37									
RPL26	L ribosomal proteins	37									
RPL28	L ribosomal proteins	37									
RPL31	L ribosomal proteins	37									
RPL32	L ribosomal proteins	37									
RPL35A	L ribosomal proteins	37									
RPL18A	L ribosomal proteins	37									
RPL3	L ribosomal proteins	37									
RPL37A	L ribosomal proteins	37									
RPL34	L ribosomal proteins	37									
RPL17	L ribosomal proteins	37									
RPLP2	L ribosomal proteins	37									
RPL23A	L ribosomal proteins	37									
RPL12	L ribosomal proteins	37									
RPL10	L ribosomal proteins	37									
RPL7L1	L ribosomal proteins	37									
RPL14	L ribosomal proteins	37									
RPL7A	L ribosomal proteins	37									
RPL21	L ribosomal proteins	37									
RPL9	L ribosomal proteins	37									
RPL6	L ribosomal proteins	37									
RPL36A	L ribosomal proteins	37									
RPL24	L ribosomal proteins	37									
RPL15	L ribosomal proteins	37									
RPL10A	L ribosomal proteins	37									
RPL4	L ribosomal proteins	37									
RPL22	L ribosomal proteins	37									
RPL8	L ribosomal proteins	37									
RPL30	L ribosomal proteins	37									
RPL7	L ribosomal proteins	37									
RPL27A	L ribosomal proteins	37									
RPL36	L ribosomal proteins	37									
RPL23	L ribosomal proteins	37									
LARP1	La ribonucleoprotein domain containing	2									
SSB	La ribonucleoprotein domain containing	2									
LAMA5	Laminin subunits	1									
LMNB1	Lamins	2									
LMNA	Lamins	2									
TMPO	LEM domain containing	2									
EMD	LEM domain containing	2									
LZTS2	Leucine zipper tumor suppressor family	1									
FBLIM1	LIM domain containing	12									
ZYX	LIM domain containing	12									
CSRP1	LIM domain containing	12									
LPXN	LIM domain containing	12									
LASP1	LIM domain containing	12									
FHL3	LIM domain containing	12									
LIMA1	LIM domain containing	12									
LIMD2	LIM domain containing	12									
LIMS1	LIM domain containing	12									
MICALL2	LIM domain containing	12									
PDLIM5	LIM domain containing	12									
LIMD1	LIM domain containing	12									
PNPLA2	Lipases	2									
LIPA	Lipases	2									
LDLR	Low density lipoprotein receptors	2									
LRP12	Low density lipoprotein receptors	2									
